subitem,subject,item,transciption
42-18,42,18,the table with the antique chair broke
42-5,42,5,the tent with the sturdy pole stood
42-6,42,6,the dam for the murky river burst
42-19,42,19,the resort with the elaborate gardens was beautiful
42-12,42,12,the bodyguard near the door didn't let anyone in
42-3,42,3,the hammer for the rusty nails was effective
42-10,42,10,the vase near the vibrant color flowers….X
42-24,42,24,the camera with the special lens was high definition
42-7,42,7,the necklace near the colorful feathers was pretty
42-17,42,17,the waitress by the impatient diner was looking for a job
43-11,43,11,the banana near the popular sandwiches was not popular
43-12,43,12,the bodyguard near the nervous jewelers was very busy
43-3,43,3,the hammer for the rigid peg is rare
43-16,43,16,the eraser near the novelty pencils didn't work very well
43-5,43,5,the tent with the sturdy poles didn't fall in the wind
43-20,43,20,the hydrant near the bent hose the hydrant with the bent hose didn't work
43-6,43,6,the dam for the musky(sic) rivers has to be cleaned
43-7,43,7,the necktie with the colorful diamond is bright
43-21,43,21,the guitar near the f-with the faulty string didn't work
43-24,43,24,the camera with special manuals is tough to use
43-22,43,22,the trainer for the confident actors didn't have much to do
43-13,43,13,the bicycle by the warped basket um was rusty
43-15,43,15,the church near the giant drive-the church with the giant driveway can fit a lot of churchgoers
43-8,43,8,the fortress with the ancient wall was crumbling
43-9,43,9,the butler for the selfish millionaire quit
43-14,43,14,the caddy near the charismatic celebrity got an autograph
43-4,43,4,coach for the disciplined athletes is a happy coach
43-17,43,17,the waitress by the impatient drivers um…was nervous
43-1,43,1,the envelope for the photo album…um…contained the address
43-23,43,23,the canoe with the weathered flags um looked like it'd been used for a while
43-18,43,18,the table by the antique chairs was equally as antique as old
43-19,43,19,the resort near the elongated pool has olympic swimmers in it
43-2,43,2,the cake with the candy figurine was for a little blonde's birthday
43-10,43,10,the vase with the vibrant colors stuck out
44-21,44,21,the guitar near the faculty steps was lost
44-13,44,13,the bicycle by the warped baskets was stolen
44-4,44,4,the coach for the disruptive teenager was weird
44-3,44,3,the hammer for the rigid pegs was crooked
44-20,44,20,the hydrant near the bent hoses was red
44-23,44,23,the canoe near the weathered oar was broken
44-8,44,8,the fortress with the ancient walls was crumbling
44-7,44,7,the necklace with the colorful diamonds was priceless
44-9,44,9,the butler for the selfish millionaires worked in batman
44-11,44,11,the banana for the popular sundae was gray
44-24,44,24,the camera by the special lens took pictures of people
44-16,44,16,the eraser near the novelty pen was pink
44-10,44,10,the vase with the vibrant flower was really pretty
44-6,44,6,the dam for the musty factory was clogged
44-19,44,19,the resort near the elongated pools was fancy
44-12,44,12,the bodyguard for the nervous actress was shot
44-15,44,15,the church near the giant driveways was great
44-5,44,5,the tent with the sturdy cushion fell
44-14,44,14,the caddy near the charismatic celebrities was funny
44-1,44,1,the envelope for the photo albums was full
44-18,44,18,the table by the antique lamp fell
44-22,44,22,the trainer near the confident boxer was confident
44-2,44,2,the cake with the candy figurines was yummy
44-17,44,17,the waitress by the impatient senior was impatient
45-6,45,6,the dam for the musty factories broke
45-10,45,10,the vase with the vibrant flowers was colorful
45-22,45,22,the trainer near the confident bockers-boxers was nervous
45-20,45,20,the hydrant near the bright reflector was red
45-14,45,14,the caddy for the charismatic golfer was not
45-19,45,19,the resort near the elaborate garden was expensive
45-16,45,16,the eraser near the novelty pens was o-ordinary
45-4,45,4,the coach for the disruptive teenagers was tired
45-5,45,5,the tent with the sturdy cushions was expensive
45-12,45,12,the bodyguard for the nervous actresses did his job well
45-1,45,1,the envelope by the formal letter was fancy
45-23,45,23,the canoe near the weathered oars was also weathered
45-3,45,3,the hammer by the rusty nail was broken
45-24,45,24,the camera by the special lenses was big
45-7,45,7,the necklace with the colorful fl-feather had jewels on it
45-15,45,15,the church with the giant cross was ornate
45-8,45,8,the fortress with the ancient farm was big
45-17,45,17,the waitress by the impatient seniors got tired of it
45-18,45,18,the table by the antique lamps was also antique
45-21,45,21,the guitar near the faulty pedal had broken strings
45-13,45,13,the bicycle with the warped tire sat locked to the…to the bike rack
45-2,45,2,the cake by the colored candle had lots of icing on it
45-9,45,9,the butler for the spoiled kid was tired of his job
45-11,45,11,the bananas for the popular sundaes ran out that day
46-8,46,8,the fortress with the ancient farms was destroyed
46-3,46,3,the hammer by the rusty nails was also rusty
46-21,46,21,the guitar near the faulty pedals had a string loose
46-17,46,17,the waitress for the impatient diner…was not happy
46-4,46,4,the coach near the disciplined athlete was screaming
46-19,46,19,the resort near the elaborate guests was very large
46-6,46,6,the dam by the murky river was very dark
46-2,46,2,the cake by the colored candles was untouched
46-13,46,13,the bicycle with the warped tires was old
46-15,46,15,the church with the giant crosses had many people inside
46-20,46,20,the hydrant near the bright reflectors was r-r-red
46-18,46,18,the table for the antique chair was also antique
46-14,46,14,the caddy for the charismatic…giraffes was tall
46-7,46,7,the necklace with the colorful feathers was three different colors
46-12,46,12,the bodyguard for the nervous jeweler was very calm
46-1,46,1,the envelope by the formal letters was very large
46-16,46,16,the eraser for the novelty pencil w-was was not very good
46-5,46,5,the tent near the sturdy pole was bending over
46-11,46,11,the banana for the popular sandwich was bad
46-24,46,24,the camera by the special…man was expensive
46-9,46,9,the butler for the spoiled kids was a very patient man
46-23,46,23,the canoe near the weathered flag had holes in it
46-22,46,22,the trainer near the confident actor had a smile on his face
46-10,46,10,the vase with the vibrant cover was yellow
47-23,47,23,the canoe near the weathered flags had a hole in it
47-9,47,9,the butler near the selfish millionaire resented his boss
47-15,47,15,the church with the giant driveway had many cars in it
47-20,47,20,the hydrant with the bent hose didn't work
47-7,47,7,the necklace with the colorful diamond was beautiful
47-18,47,18,the table for the antique dealers was filled with items
47-24,47,24,the camera by the special lenses was very expensive
47-19,47,19,the resort with the elongated pool was very expensive
47-14,47,14,the caddy for the charismic(sic) celebrity resented the celebrity
47-1,47,1,the envelope by the photo album contained ever more pictures
47-6,47,6,the dam by the murky rivers held back a massive tide
47-16,47,16,the eraser for the novelty pencils did not really work
47-22,47,22,the trainer near the confident actors was quite annoyed
47-13,47,13,the bicycle with the wa-warped basket didn't hold much
47-2,47,2,the cake by the candy in the fireplace melted
47-4,47,4,the couch-the coach near the disciplined athletes was quite pleased
47-5,47,5,the tent near the sturdy poles was not too sturdy
47-12,47,12,the bodyguard for the nervous jewelers was not too nervous himself
47-21,47,21,the guitar with the faulty string didn't sound too good
47-3,47,3,the hammer by the rigid peg worked diligently
47-11,47,11,the banana for the popular sandwiches was raw
47-8,47,8,the fortress near the ancient wall was quite old as well
47-10,47,10,the vase with the vibrant covers was quite ornate
47-17,47,17,the waitress for the impatient diners expet-expected a good tip
48-10,48,10,the vase near the vibrant flower shone brightly in the sun
48-13,48,13,the bicycle with the warped shoes…X
48-5,48,5,the tent near the study cushion fell
48-2,48,2,the cake by the candy figurines looked beautiful
48-6,48,6,the dam by the musty factory was very polluted
48-7,48,7,the necklace near the colorful diamonds was made out of pure silver
48-21,48,21,the guitar with the faulty strings…played very u…s-s-s-ugly 
48-16,48,16,the eraser for the pen novelty pen proved to work very well
48-19,48,19,the resort with the elongated pools stretched out t-over a hundred meters
48-9,48,9,the butler near the selfish millionaires was a very good server
48-15,48,15,the church with the giant driveways had many guests
48-20,48,20,the hydrant with the bent hoses did not work
48-11,48,11,the banana near the popular sundae... was very delicious
48-4,48,4,the coach near the distrupti-disruptive teenager was very…angry
48-3,48,3,the hammer by the rigid pegs was used to hammer them down
48-8,48,8,the fortress near the ac-the fortress near ancient halls were over a m-a century years old
48-12,48,12,the bodyguard near the nervous actresses…was very strong
48-17,48,17,the waitress near t-the waitress for the impatient... sector was... very diligent
48-24,48,24,the camera with the special lens can zoom in very far
48-14,48,14,the caddy for the charm-charamistic(sic) celebrities…X
48-22,48,22,the trainer the trainer for the confident biker was a good coach
48-23,48,23,the canoe with the weather…X
48-18,48,18,the table for the antique lamp was also very antique
48-1,48,1,the envelope by the photo albums was for my mother
49-4,49,4,the couch near the disruptive teenagers was stained
49-6,49,6,the dam by the musty factories was infected
49-14,49,14,the caddy near the charactermistic(sic) goffer-golfer (laughs) um oh gosh it's tough was slow
49-19,49,19,the resort with the elaborate garden was expensive
49-24,49,24,the camera with the special lenses was also expensive
49-18,49,18,the table for the antique lamps broke
49-3,49,3,the hammer for the rusty nail was a disaster
49-23,49,23,the canoe with weathered oars was broken
49-11,49,11,the banana near the popular sundaes went bent
49-2,49,2,the cake with the colored candle was bad
49-17,49,17,the waitress for the impatient seniors quit
49-13,49,13,the bicycle was w-with the warped tire couldn't be ridden
49-12,49,12,the bodyguard near the nervous people helped them
49-8,49,8,the fortress near the ancient farm went on fire
49-22,49,22,the trainer for the confident boxers made a lot of money
49-20,49,20,the hydrant with the bright reflector was beneficial for firefighters
49-9,49,9,the butler near the spoiled kid hated his job
49-7,49,7,the necktie-the necklace was colorful
49-16,49,16,the eraser for novelty pens was useless
49-10,49,10,the vase with the vibrant flowers…was broken
49-21,49,21,the guitar with the faulty pedal was thrown out
49-15,49,15,the church near the giant cross burned down
49-1,49,1,the envelope for the formal letter was beautiful
49-5,49,5,the tent near the stea-sturdy cushions was sturdy
51-12,51,12,they-the bodyguard near the church told us to leave
51-5,51,5,the tent with the sturdy poles actually fell over in the storm
51-8,51,8,the fortress with the ancient wall is in china
51-11,51,11,the banana near the population stand…was sold for ten dolars
51-22,51,22,the trainer for the confident actors gets paid very well
51-24,51,24,the camera with the special manuals is one of the nicest ones I've ever seen
51-1,51,1,the envelope for the al-photo album was very big
51-7,51,7,the necklace with the colorful diamond was sold for a million dollars
51-3,51,3,the hammer for the rigid peg could not be found
51-15,51,15,the church near the giant driveway was three hundred years old
51-16,51,16,the eraser near the novelty pencils was stolen
51-9,51,9,the butler from the selfish millioniare was not paid very well
51-13,51,13,the bicycle by the warped basket was stolen
51-4,51,4,the coach for the disciplined athletes was awarded with a championship at the end of the year
51-10,51,10,the vase near the vibrant covers was yellow
51-17,51,17,the waitress by the impatient…dentist was irresponsible
51-23,51,23,the canoe with the weathered flags ended up sinking
51-14,51,14,the caddy near the ch-charasmic-charismatic celebrity was enjoyed to see him
51-2,51,2,the cake with the candy figure was very sweet
51-6,51,6,the dam for the murky rivers broke down
51-18,51,18,the table by the antique chairs was sold for a million dollars
51-21,51,21,the guitar near the faulty string was not sounding correct
51-20,51,20,the hydrant near the bent house was broken
51-19,51,19,the resort near the el-elongated pool was very special
52-19,52,19,the resort near theee people was nice
52-4,52,4,the coach for the disruptive teenager disciplined him
52-10,52,10,the vase with the vibrant flower was large
52-17,52,17,the waitress by the impatient…person was annoyed
52-12,52,12,the bodyguard for the nervous actress was calm
52-9,52,9,the butler for se-selfish millionaires was annoyed
52-21,52,21,the guitar near the faulty strings were broken
52-23,52,23,the canoe near the weathered car was broken
52-24,52,24,the camera by the special lens was expensive
52-5,52,5,the tent with the sturdy cushion was standing
52-14,52,14,the candy near the celebrities…were good
52-1,52,1,the envelope for the photo album was big
52-22,52,22,the trainers near the…near the confident boxer were happy
52-7,52,7,the necktie-neck-necklace with colorful diamonds was expensive 
52-20,52,20,the hydrant near the bent houses were running
52-16,52,16,the eraser near the novel-novelty pen was expensive
52-15,52,15,the church near the giant driveways was big
52-3,52,3,the hammer for the rigid something…X
52-18,52,18,the table by the antique lamp was old
52-13,52,13,the bicycle by the warped baskets was new
52-11,52,11,the banana for the popular sundae was expensive
52-6,52,6,the dam for the…X
52-2,52,2,the cake with the candy figures was yummy
52-8,52,8,the fortress with the ancient walls was old
53-8,53,8,the fortress with the ancient farm was safe
53-2,53,2,the cake by the second candle wwwas melting
53-3,53,3,the hammer by the rusty nail was used to hit the rusty nail
53-21,53,21,the guitar n-needed a faulty pedal because it was old
53-22,53,22,the trainer near the confident boxers was good
53-13,53,13,the bicycle with the warped tire rode awkwardly
53-23,53,23,the canoe near the weathered one was better
53-17,53,17,the waitress by the impatient…soldiers was slow
53-4,53,4,the coach for the disruptive teenagers was strict
53-16,53,16,the eraser near the novelty pens was large 
53-24,53,24,the camera by the special lenses was expensive
53-14,53,14,the caddy for the charismatic golfer was also charismatic
53-7,53,7,the necklace with the colorful feather was expensive
53-1,53,1,the envelope by the formal letter was fancy
53-6,53,6,the dam for the mystery factory was large
53-20,53,20,the hydrant near the bright reflector was red
53-10,53,10,the vase with the vibrant flowers looked nice
53-11,53,11,the banana for the popular sundaes was large
53-5,53,5,the tent with the sturdy cushions was large
53-12,53,12,the bodyguard for the nervous actress was very capable
53-19,53,19,the resort near the elaborate garden cost a lot to stay at
53-15,53,15,the church with the giant cross was a catholic church
53-9,53,9,the butler for the spoiled kid was very annoyed by the ah-by the child
53-18,53,18,the table by the antique lamps was an antique table
54-5,54,5,the tent near the sturdy pole collapsed
54-23,54,23,the canoe near the weathered flag was wet
54-10,54,10,the vase with the vibrant cover fell to the floor
54-2,54,2,the cake by the colored candles was sold
54-8,54,8,the fortress with the ancient farms was recently discovered
54-19,54,19,the resort near the elaborate gardens allowed free passes
54-13,54,13,the bicycle with the warped tires did not make it home
54-7,54,7,the necklace with the colorful feathers sold for about two hundred dollars
54-15,54,15,the church with the giant crosses collected a lot of gatherings
54-12,54,12,the bodyguard for the nervous jeweler had a hard job on his hands
54-1,54,1,the envelope by the formal lo-letters was gilded with bright colors I guess
54-16,54,16,the eraser for the novelty pencil was not very good quality
54-11,54,11,the banana for the popular sandwich ran out
54-22,54,22,the trainer near the confident actor…X
54-18,54,18,the table for the antique chair sold for about twice the cost of the chair
54-6,54,6,the dam by the murky river…um…needed inspection
54-17,54,17,the waitress for the impatient diner had to hold her own temper in check
54-21,54,21,the guitar near the faulty pedals…didn't affect one another
54-24,54,24,the camera by the special manual still didn't make sense
54-14,54,14,the caddy for the charismatic golfers found that he wasn't needed that much
54-20,54,20,the hydrant near the bright reflectors was easy for the fire department to spot
54-4,54,4,the coach near the disciplined athlete found that what he said was being received well
54-3,54,3,the hammer by the rusty nails found himself looking for a job
54-9,54,9,the butler for the spoiler-spoiled kids wished that he had chosen a different career path
55-7,55,7,…X
55-20,55,20,…X
55-1,55,1,…X
55-11,55,11,the banana for the popular statistics…I don't know….X
55-2,55,2,the cake by the candy fi-figure…X
55-12,55,12,the bodyguard for the nervous jewelers stole their jewels
55-15,55,15,the church with the giant driveway was the busiest place in the city
55-18,55,18,the table for the antique chairs was cost a fortune
55-13,55,13,the bicycle with the warped basket was my child's favorite new toy
55-5,55,5,the tent near the sturdy poles would keep shaking when it was windy
55-6,55,6,the dam by the murky rivers was a good investment
55-16,55,16,the eraser for the no-novelty pencils is old…X
55-4,55,4,the coach near the disciplined athletes will never stop motivating them
55-8,55,8,the fortress near the anc-near the ancient wall uh was sturdy
55-3,55,3,the hammer by the rigid peg would keep falling down
55-10,55,10,the vase with the vibrant covers was beautiful
55-17,55,17,the waitress for the impatient diners will never get a tip
55-19,55,19,the resort with the elongated pool was divine
55-23,55,23,the canoe near the weathered flags was…uh large
55-22,55,22,the trainer near the confident actors uh motivated them
55-9,55,9,the butler near the selfish millionaire was very jealous of him
55-21,55,21,the guitar with the faulty string produced beautiful music
55-14,55,14,the caddy for the charismatic celebrity was full of goodies
55-24,55,24,the camera by the special manuals was intelligent
56-19,56,19,the resort with the elongated pools were good
56-16,56,16,the eraser for the novelty pen didn't work
56-14,56,14,the caddy for the charismatic celebrities was bad
56-11,56,11,the banana near the popular sundae was yellow
56-15,56,15,the church with the giant driveways held a lot of people
56-3,56,3,the hammer by the rigid pegs was metal
56-9,56,9,the butler near the selfish millionaires hated his job
56-8,56,8,the fortress near the ancient walls was made of stone
56-18,56,18,the table for the antique lamp had no legs
56-13,56,13,the bicycle with the warped baskets was slow
56-23,56,23,the canoe with the weathered oar didn't float well
56-17,56,17,the waitress for the impatient senior didn't make a tip
56-6,56,6,the dam by the musty factory didn't hold water back
56-5,56,5,the tent near the sturdy cushion had tent poles
56-2,56,2,the cake by the candy figures was chocolate
56-20,56,20,the hydrant with the bent hoses had water in it
56-1,56,1,the envelope by the photo albums is empty
56-4,56,4,the coach near the disruptive teenager yelled at him
56-21,56,21,the guitar with the faulty strings sounded bad
56-10,56,10,the vase near the vibrant flower was glass
56-12,56,12,the bodyguard near the nervous actress was paranoid
56-22,56,22,the trainer for the confident boxer knew that he would win
56-24,56,24,the camera with the special lens was in black and white
56-7,56,7,the necktie..uh….X
57-3,57,3,the hammer for the rusty nail was hard
57-6,57,6,the dam by the musty factories was detrimental to the environment
57-9,57,9,the butler near the spider ran away
57-12,57,12,the bodyguard near the nervous actress was huge
57-11,57,11,the banana near the pop-population was weird
57-2,57,2,the cake was colored by the ha-handle
57-20,57,20,the hydrant by-the hy-the hydrant was there
57-21,57,21,the guitar with faulty with the faulty pedal was loud
57-14,57,14,the caddy near the charismatic girder(sic) was…diligent
57-19,57,19,the resort with the elaborate garden was epic
57-23,57,23,the canoe with the weathered oars did not do so well
57-18,57,18,the table for antique lamps was rickety
57-15,57,15,the church near the giant cross is quite epic
57-7,57,7,the necklace near the colorful theatre was quite a find
57-10,57,10,the vase near the vibrant flowers complemented the flowers colors
57-24,57,24,the camera with special lenses captured things well
57-8,57,8,the fortress near the ancient the fortress near the ancient farm was barren
57-13,57,13,the bicycle with the warped tire does not ride so well
57-4,57,4,ah near the ah coach near the disruptive teenagers uh was very loud
57-16,57,16,the eraser fro-for novelty pens are useless
57-5,57,5,the tent near the sturdy cushions was flimsy
57-17,57,17,the waitress for the impatient seniors continued to be impatient 
57-22,57,22,the trainer for the confident boxers did not do so well
57-1,57,1,the envelope for the formal letter was just as pretty as the letter itself
58-10,58,10,the vase near the file cabinet fell
58-11,58,11,the banana near the popular sandwich was not noticed
58-18,58,18,the table by the antique chair was nice
58-16,58,16,the eraser near the pencil was shaven
58-4,58,4,the coach for the disciplined students wrote down everything they did wrong
58-14,58,14,the caddy near theee something place ah took the bag
58-2,58,2,the cake with the colored candles was blue
58-24,58,24,the camera with the special manual was taking amazing pictures
58-19,58,19,the resort with the elaborate garage was full of cars
58-20,58,20,the hydrant with the brightest reflectors was not hit in the storm
58-6,58,6,the dam for the murky river fell
58-13,58,13,the bicycle by the warped tires didn't work very well
58-23,58,23,the canoe with the weathered flag was on its way down the river
58-21,58,21,the guitar with the faulty strings made a weird noise
58-7,58,7,the necklace near the color fleathe-feathers ah was shiny
58-3,58,3,the hammer for the rusty nails did the trick
58-9,58,9,the butler near the spoiled kids decided to give them more candy
58-22,58,22,the trainer for the confident actor trained him how to use his ego
58-15,58,15,the church near the giant crosses bells rang
58-17,58,17,the waitress by the implant diner um never waited on her…table
58-1,58,1,the envelope w-for the formal letters was red
58-5,58,5,the tent with the sturdy poles held the king
58-12,58,12,the bodyguard near the nervous jeweler was shaking
58-8,58,8,the fortress near the ancient ruins was destroyed years ago
59-9,59,9,the butler from the selfish millionaire used to steal the cutlery
59-13,59,13,the bicycle by the warped basket h-used to have bananas inside of it
59-2,59,2,the cake with the candy figurine was of my favorite tv show teletubbies
59-21,59,21,the guitar near the faulty string….was broken
59-14,59,14,the caddy near the charismatic celebrity was constantly badgering him for an autograph
59-6,59,6,the dam for the murky rivers was running efficiently and producing alternative energy
59-11,59,11,the banana near the popular sandwiches is a classic side dish
59-19,59,19,the resort near the elongated pool was also elongated and housed many people
59-18,59,18,the table by the antique chairs belonged to my grandmother
59-1,59,1,the envelope for the photo album was glossy and red
59-23,59,23,the canoe with the weathered flags was used in the civil war era
59-17,59,17,the waitress by the impatient diners decided she had had enough and spit in their food
59-8,59,8,the fortress with the ancient wall had many cracks and weaknesses in it
59-4,59,4,the coach for the disciplined athletes spit a lot when he yelled
59-10,59,10,the vase near the vibrant covers has vibrant flowers with vibrant colors
59-5,59,5,the tent with the sturdy poles could support fifteen people
59-22,59,22,the trainer for the confident actors didn't even have to train them because they were confident
59-16,59,16,the eraser near the novelty pencils was also novelty and instead of erasing it actually caught fire when struck
59-24,59,24,the camera with the special manuals was never used by the elderly couple 
59-20,59,20,the hydrant near the bent hose released waterrrr very rapidly
59-12,59,12,the bodyguard near the nervous jewelers was cool calm and collected
59-15,59,15,the church near the giant driveway housed many cars
59-3,59,3,the hammer for the rigid peg was was a large one that needed fourteen men to hold
59-7,59,7,the necklace with the colorful diamond cost over three thousand dollars
60-10,60,10,the vase with the …fluorescent flowers was pretty
60-9,60,9,the butler for the selfish master was annoyed
60-24,60,24,the camera by the special lens was expensive
60-13,60,13,the bicycle by the warped tires wouldn't work
60-5,60,5,the tent with the sturdy cushion was full
60-11,60,11,the banana for the popular…I didn't see it…um…X
60-4,60,4,the coach for the disruptive teenager was annoyed and benched him
60-19,60,19,the report was elongated…to five hundred pages
60-2,60,2,the cake with the candy….topping was a big hit at the party
60-22,60,22,the trainer near the co-train…stopped the train
60-1,60,1,the envelope for the photo…um…ripped open and ruined the picture
60-7,60,7,the necklace with the colorful diamonds looked pretty around her neck
60-23,60,23,the canoe near the weathered oar had a hole in the bottom
60-14,60,14,the c-caddy near the…golfer…helped take out the clubs
60-12,60,12,the bodyguard for the nervous…tenant always caused problems
60-6,60,6,the dam for the musty factory held back the water
60-18,60,18,the table by the antique lamp was unlevel
60-15,60,15,the church near the giant driveways held a lot of people
60-16,60,16,the eraser near the novelty pen was pink
60-3,60,3,the hammer for the rigid pegs was made of wood
60-8,60,8,the fortress with the ancient walls had cannons on top
60-21,60,21,the guitar near the faulty strings was repaired
60-20,60,20,the hydrant near the bent hoses…was…leaking water
60-17,60,17,the waitress by the impatient…patron…got angry by the tip
61-12,61,12,the bodyguard uh….X
61-24,61,24,the camera by the special lenses…uh…X
61-2,61,2,the cake by the colored candle was smashed
61-20,61,20,the hydrant near the bright reflector was red
61-17,61,17,the waitress by the impatient seniors made a face
61-1,61,1,the envelope by the formal letter….X
61-3,61,3,the hammer by the rusty nail fell off the table
61-22,61,22,the trainer near the confident boxers smiled
61-14,61,14,the caddy for the charismic(sic) charismatic golfer drove the cart
61-6,61,6,the dam for the musty factories overflowed
61-5,61,5,the tent with the sturdy cushions collapsed
61-16,61,16,the eraser near the novelty pens fell off the table
61-13,61,13,the bicycle with the warped tire fell over
61-15,61,15,the church with the giant cross…had a wedding
61-4,61,4,the coach for the disruptive teenagers yelled
61-18,61,18,the table by the antique lamps was also antique
61-9,61,9,the butler for the spoiled kid was very patient
61-8,61,8,the fortress with the ancient farm…was crumbling
61-7,61,7,the necklace with the colorful feather fell off her neck
61-19,61,19,the resort near the elaborate garden was packed with people
61-21,61,21,the guitar near the faulty pedal fell
61-10,61,10,the vase with the vibrant flowers broke
61-23,61,23,the canoe near the weathered oars flipped over
61-11,61,11,the banana for the popular….X
62-21,62,21,the guitar near the faculty was playing
62-20,62,20,the hydrant near the bright bridge was on
62-5,62,5,the tent near the sturdy pile was up
62-14,62,14,the caddy for theee golfer was broken
62-4,62,4,the coach near the …player gave him advice
62-16,62,16,the erasers for the novelty items were sold
62-13,62,13,the bicycible(sic) with the warped tires didn't work
62-23,62,23,the canoe near the pond had a hole in it
62-12,62,12,the bodyguard was protective
62-2,62,2,the cake by the colored candles was eaten
62-18,62,18,the table for the antique chair had broken
62-1,62,1,the envelope by the formal …I don't know…X
62-6,62,6,the dam by the murky river held the water
62-22,62,22,the trainer near the confident person trained
62-8,62,8,the fortress with the ancient farms was impenetrable
62-7,62,7,the necklace with the colored pendants was work by the lady
62-24,62,24,the camera by the special manual was turned on
62-15,62,15,the church with the giant crosses was very popular
62-3,62,3,the hammer by the rusty nails was used to hammer the rusty nails
62-11,62,11,the banana for the popular sandwich was used with peanut butter
62-17,62,17,the waitress from the diner made lots of money on tips
62-9,62,9,the butler helped out the kids with their school work
62-19,62,19,the resort near the gardens was very popular
62-10,62,10,the vase was filled with beautiful flowers
63-9,63,9,the butler near the selfish millionaire quit
63-3,63,3,the hammer by the rigid peg was next to it
63-20,63,20,the hydrant with the bent hose didn't work well
63-16,63,16,the eraser for the novelty…X
63-12,63,12,the bodyguard for the nervous jewelers was tough
63-6,63,6,the dam by the murky rivers didn't work well
63-13,63,13,the bicycle with the warped basket was broken
63-23,63,23,the canoe near the weathered flags was flipped upside down
63-4,63,4,the coach near the disciplined athletes was not happy
63-24,63,24,the camera by the special manuals was expensive
63-21,63,21,the guitar with the faulty string didn't work
63-19,63,19,the resort with the elongated pool was a high class resort
63-10,63,10,the vase with the vibrant covers was pleasant to look at
63-17,63,17,the waitress for the impatient diners was unhappy
63-22,63,22,the trainer near the confident actors did his job
63-15,63,15,the church with the giant driveway was deserted
63-11,63,11,the banana for the popular sandwiches was rotten
63-5,63,5,the tent near the sturdy pole uh collapsed
63-8,63,8,the fortress near the ancient wall was destroyed
63-18,63,18,the table for the antique chair was also antique
63-7,63,7,the necklace near the colorful diamond was beautiful
63-14,63,14,the caddy for the charismatic celebrity got some money
63-1,63,1,the envelope by the photo album was open 
63-2,63,2,the cake by the candy figurine was good
64-14,64,14,the caddy for the charismatic golfer…was that too
64-1,64,1,the envelope by the photo albums was covered in stamps
64-6,64,6,the dam by the musty factory was about to break
64-3,64,3,the hammer by the rigid pegs was used to hammer in the pegs
64-23,64,23,the canoe with the weathered oar was just sitting outside
64-10,64,10,the vase near the vibrant flower looked just as good as the flower itself
64-2,64,2,the cake by the candy figurine was covered with sugar flowers
64-15,64,15,the church with the giant driveway accommodated many people
64-16,64,16,the eraser for the novelty pen didn't work properly
64-20,64,20,the hydrant with the bent hoses weren't working properly
64-7,64,7,the necklace near the colorful diamonds was almost as expensive
64-11,64,11,the banana near the popular sundae was delicious
64-8,64,8,the fortress near the ancient walls was of great height
64-21,64,21,the guitar with the fancy strings was also expensive
64-19,64,19,the resorts with elongated pools are very fancy
64-18,64,18,the table for the antique lamp was quite wobbly
64-12,64,12,the bodyguard near the nervous actress was protecting her from any crazy people
64-22,64,22,the trainer for the confident boxer was confident himself
64-9,64,9,the butler near the selfish millionaires really didn't like them
64-24,64,24,the camera with the special lens was able to take the best pictures
64-17,64,17,the waitress for the impatient senior was nice to him despite the fact that he was so mean
64-13,64,13,the bicycle with the warped baskets didn't really have a problem riding anyway
64-5,64,5,the tent near the sturdy cushion was oddly placed
64-4,64,4,the coach near the disruptive teenagers started yelling at them
65-6,65,6,the dam by the musty factories fell
65-4,65,4,the coach near the di-r-disruptive teenagers s-blew up
65-2,65,2,the cake with the colored candle blew up
65-16,65,16,the eraser from the novelty pens exploded
65-17,65,17,the waitress for the impatient seniors quit
65-24,65,24,the camera with the special lens broke
65-1,65,1,the envelope for the formal letter was tearn(sic) apart torn apart
65-21,65,21,the guitar with the faulty pedal was sounded well
65-10,65,10,the vase near the vibrant frowers(sic) exploded
65-8,65,8,the fortress near the ancient farm still stood
65-3,65,3,the hammer for the rusty nail didn't work
65-9,65,9,the butler near the spoiled kid quit
65-15,65,15,the church near the giant cross was big
65-23,65,23,the canoe with the weathered oars was un-or-was un-cannot be shoot sailed
65-13,65,13,the bicycle by the warped tire…went away
65-18,65,18,the table for the antique lamps collapsed
65-5,65,5,the tent near the sturdy cushions fell
65-19,65,19,the resort with the elaborate garden was really expensive
65-14,65,14,the caddy near the charism-ah-charismatic golfer gave up
65-11,65,11,the banana near the popular sundaes were j-were left at the home
65-7,65,7,the necklace near the colorful feather looked pretty
65-20,65,20,the hydrant with the bright reflector killed everyone
65-22,65,22,the trainer for the confident boxers couldn't handle them
65-12,65,12,the bodyguard near the nervous actresses stood still
66-15,66,15,the church near the giant crosses were easily noticed
66-24,66,24,the camera with the special manual was hard to work
66-20,66,20,the hydrant with the bright reflectors alerted the firemen to the location
66-5,66,5,the tent with the sturdy pole provided great shelter
66-3,66,3,the hammer for the rusty nails worked fine
66-21,66,21,the guitar with the faulty pedals rarely worked
66-7,66,7,the necklace near the colorful feathers was for sale
66-14,66,14,the caddy near the charismatic golfers was telling jokes
66-8,66,8,the fortress near the ancient farms was a tourist site
66-2,66,2,the cake with the colored candles was for my sisters birthday
66-13,66,13,the bicycle by the warped tires…uh didn't work correctly
